Profile 1             
x       y           
[m]     [m]         
0,02169345  4,4922689e-007            
0,021804699  4,4036396e-007            
0,021915947  4,2902777e-007            
0,022027196  4,1835617e-007            
0,022138444  4,1082568e-007            
0,022249693  4,0826898e-007            
0,022360941  4,1148044e-007            
0,02247219  4,2008084e-007            
0,022583438  4,3298673e-007            
0,022694687  4,49059e-007            
0,022805935  4,6737876e-007            
0,022917183  4,8703453e-007            
0,023028432  5,067975e-007            
0,02313968  5,2514868e-007            
0,023250929  5,4091308e-007            
0,023362177  5,5332044e-007            
0,023473426  5,6153883e-007            
0,023584674  5,6426944e-007            
0,023695923  5,6047503e-007            
0,023807171  5,5087296e-007            
0,02391842  5,3832244e-007            
0,024029668  5,2603167e-007            
0,024140917  5,1504429e-007            
0,024252165  5,0358544e-007            
0,024363414  4,8900752e-007            
0,024474662  4,7036975e-007            
0,02458591  4,4919745e-007            
0,024697159  4,2808007e-007            
0,024808407  4,0888066e-007            
0,024919656  3,9217053e-007            
0,025030904  3,777708e-007            
0,025142153  3,6527214e-007            
0,025253401  3,5398783e-007            
0,02536465  3,4282865e-007            
0,025475898  3,3070203e-007            
0,025587147  3,172052e-007            
0,025698395  3,0280162e-007            
0,025809644  2,882136e-007            
0,025920892  2,7374377e-007            
0,02603214  2,5930203e-007            
0,026143389  2,4498241e-007            
0,026254637  2,3140024e-007            
0,026365886  2,1942888e-007            
0,026477134  2,0973331e-007            
0,026588383  2,0259661e-007            
0,026699631  1,9807211e-007            
0,02681088  1,9619935e-007            
0,026922128  1,9712058e-007            
0,027033377  2,0107475e-007            
0,027144625  2,0825771e-007            
0,027255874  2,1861516e-007            
0,027367122  2,3176092e-007            
0,02747837  2,4709638e-007            
0,027589619  2,6396069e-007            
0,027700867  2,8170745e-007            
0,027812116  2,9987925e-007            
0,027923364  3,1857243e-007            
0,028034613  3,3864157e-007            
0,028145861  3,612472e-007            
0,02825711  3,8678679e-007            
0,028368358  4,1402055e-007            
0,028479607  4,4034109e-007            
0,028590855  4,6330356e-007            
0,028702104  4,8241927e-007            
0,028813352  4,9983455e-007            
0,028924601  5,1914829e-007            
0,029035849  5,4281037e-007            
0,029147097  5,6970701e-007            
0,029258346  5,9494264e-007            
0,029369594  6,1254928e-007            
0,029480843  6,1925937e-007            
0,029592091  6,1619938e-007            
0,02970334  6,0736294e-007            
0,029814588  5,9682974e-007            
0,029925837  5,8722342e-007            
0,030037085  5,7984922e-007            
0,030148334  5,7533991e-007            
0,030259582  5,7391397e-007            
0,030370831  5,7528347e-007            
0,030482079  5,7850002e-007            
0,030593327  5,8181499e-007            
0,030704576  5,8270584e-007            
0,030815824  5,7840439e-007            
0,030927073  5,6695828e-007            
0,031038321  5,481598e-007            
0,03114957  5,2373032e-007            
0,031260818  4,9631561e-007            
0,031372067  4,6792225e-007            
0,031483315  4,3904752e-007            
0,031594564  4,0917827e-007            
0,031705812  3,7815969e-007            
0,031817061  3,4718131e-007            
0,031928309  3,1851702e-007            
0,032039557  2,9426532e-007            
0,032150806  2,7520863e-007            
0,032262054  2,6075972e-007            
0,032373303  2,4986798e-007            
0,032484551  2,4188035e-007            
0,0325958  2,3664016e-007            
0,032707048  2,340414e-007            
0,032818297  2,337046e-007            
0,032929545  2,351271e-007            
0,033040794  2,3810737e-007            
0,033152042  2,4295777e-007            
0,033263291  2,502249e-007            
0,033374539  2,601627e-007            
0,033485788  2,7247385e-007            
0,033597036  2,8652886e-007            
0,033708284  3,0183052e-007            
0,033819533  3,1841764e-007            
0,033930781  3,3703048e-007            
0,03404203  3,5886023e-007            
0,034153278  3,8475427e-007            
0,034264527  4,1413828e-007            
0,034375775  4,4441372e-007            
0,034487024  4,7162699e-007            
0,034598272  4,9244235e-007            
0,034709521  5,0623585e-007            
0,034820769  5,1559321e-007            
0,034932018  5,2455155e-007            
0,035043266  5,358594e-007            
0,035154514  5,4945512e-007            
0,035265763  5,6327819e-007            
0,035377011  5,7542726e-007            
0,03548826  5,856126e-007            
0,035599508  5,9482159e-007            
0,035710757  6,0390929e-007            
0,035822005  6,1249331e-007            
0,035933254  6,1878914e-007            
0,036044502  6,2017162e-007            
0,036155751  6,1409546e-007            
0,036266999  5,990963e-007            
0,036378248  5,7547722e-007            
0,036489496  5,4532035e-007            
0,036600744  5,1188741e-007            
0,036711993  4,7875314e-007            
0,036823241  4,4883921e-007            
0,03693449  4,2344189e-007            
0,037045738  4,0173428e-007            
0,037156987  3,8138914e-007            
0,037268235  3,6020944e-007            
0,037379484  3,3760639e-007            
0,037490732  3,147935e-007            
0,037601981  2,9380463e-007            
0,037713229  2,7643795e-007            
0,037824478  2,6387081e-007            
0,037935726  2,5668739e-007            
0,038046975  2,5478751e-007            
0,038158223  2,5723636e-007            
0,038269471  2,6254314e-007            
0,03838072  2,6949484e-007            
0,038491968  2,7796456e-007            
0,038603217  2,8892707e-007            
0,038714465  3,0359099e-007            
0,038825714  3,2242445e-007            
0,038936962  3,4482633e-007            
0,039048211  3,6942559e-007            
0,039159459  3,9446738e-007            
0,039270708  4,1804582e-007            
0,039381956  4,3849829e-007            
0,039493205  4,550835e-007            
0,039604453  4,684824e-007            
0,039715701  4,8052961e-007            
0,03982695  4,9314209e-007            
0,039938198  5,0707187e-007            
0,040049447  5,2124519e-007            
0,040160695  5,3305765e-007            
0,040271944  5,3946243e-007            
0,040383192  5,3828731e-007            
0,040494441  5,2908537e-007            
