Profile 1             
x       y           
[m]     [m]         
0  3,4917687e-007            
0,00011380898  3,1476916e-007            
0,00022761796  2,7234813e-007            
0,00034142694  2,2788417e-007            
0,00045523591  1,8591948e-007            
0,00056904489  1,4979202e-007            
0,00068285387  1,2170071e-007            
0,00079666285  1,0237638e-007            
0,00091047183  9,0942694e-008            
0,0010242808  8,532962e-008            
0,0011380898  8,3058147e-008            
0,0012518988  8,2012274e-008            
0,0013657077  8,0907781e-008            
0,0014795167  7,9355272e-008            
0,0015933257  7,7600443e-008            
0,0017071347  7,6118916e-008            
0,0018209437  7,5239186e-008            
0,0019347526  7,4945484e-008            
0,0020485616  7,4957937e-008            
0,0021623706  7,5025616e-008            
0,0022761796  7,5183919e-008            
0,0023899885  7,573324e-008            
0,0025037975  7,6953673e-008            
0,0026176065  7,8851268e-008            
0,0027314155  8,1206719e-008            
0,0028452245  8,3847325e-008            
0,0029590334  8,680724e-008            
0,0030728424  9,0218794e-008            
0,0031866514  9,4125417e-008            
0,0033004604  9,8444488e-008            
0,0034142694  1,0306277e-007            
0,0035280783  1,0790709e-007            
0,0036418873  1,1291277e-007            
0,0037556963  1,1794147e-007            
0,0038695053  1,2277613e-007            
0,0039833142  1,2728784e-007            
0,0040971232  1,3167795e-007            
0,0042109322  1,3653688e-007            
0,0043247412  1,4261211e-007            
0,0044385502  1,5048808e-007            
0,0045523591  1,6038749e-007            
0,0046661681  1,7202415e-007            
0,0047799771  1,8442919e-007            
0,0048937861  1,9601791e-007            
0,0050075951  2,0516782e-007            
0,005121404  2,1097925e-007            
0,005235213  2,1353299e-007            
0,005349022  2,134881e-007            
0,005462831  2,115726e-007            
0,0055766399  2,0844919e-007            
0,0056904489  2,0482658e-007            
0,0058042579  2,0142988e-007            
0,0059180669  1,9875685e-007            
0,0060318759  1,9690992e-007            
0,0061456848  1,9574339e-007            
0,0062594938  1,9517907e-007            
0,0063733028  1,9532124e-007            
0,0064871118  1,9624886e-007            
0,0066009208  1,9775065e-007            
0,0067147297  1,9931153e-007            
0,0068285387  2,0036495e-007            
0,0069423477  2,0055606e-007            
0,0070561567  1,9978668e-007            
0,0071699656  1,9811554e-007            
0,0072837746  1,9576948e-007            
0,0073975836  1,9323673e-007            
0,0075113926  1,9107463e-007            
0,0076252016  1,8936385e-007            
0,0077390105  1,8736977e-007            
0,0078528195  1,8390542e-007            
0,0079666285  1,7809165e-007            
0,0080804375  1,6981226e-007            
0,0081942465  1,5966606e-007            
0,0083080554  1,4874231e-007            
0,0084218644  1,3836843e-007            
0,0085356734  1,2967542e-007            
0,0086494824  1,230837e-007            
0,0087632913  1,1816324e-007            
0,0088771003  1,1404654e-007            
0,0089909093  1,1000886e-007            
0,0091047183  1,0576983e-007            
0,0092185273  1,0148179e-007            
0,0093323362  9,7616995e-008            
0,0094461452  9,484789e-008            
0,0095599542  9,3866009e-008            
0,0096737632  9,5128273e-008            
0,0097875722  9,8647609e-008            
0,0099013811  1,0399197e-007            
0,01001519  1,1054688e-007            
0,010128999  1,178814e-007            
0,010242808  1,2594294e-007            
0,010356617  1,3496402e-007            
0,010470426  1,45234e-007            
0,010584235  1,5692945e-007            
0,010698044  1,7000986e-007            
0,010811853  1,8415271e-007            
0,010925662  1,9887693e-007            
0,011039471  2,1392529e-007            
0,01115328  2,2954963e-007            
0,011267089  2,4623569e-007            
0,011380898  2,6396655e-007            
0,011494707  2,8168245e-007            
0,011608516  2,9743785e-007            
0,011722325  3,0914736e-007            
0,011836134  3,1545832e-007            
0,011949943  3,1633662e-007            
0,012063752  3,1311027e-007            
0,012177561  3,0792408e-007            
0,01229137  3,0288007e-007            
0,012405179  2,993093e-007            
0,012518988  2,974521e-007            
0,012632797  2,9657368e-007            
0,012746606  2,954085e-007            
0,012860415  2,9267435e-007            
0,012974224  2,8734981e-007            
0,013088033  2,7870689e-007            
0,013201842  2,6637009e-007            
0,01331565  2,5052497e-007            
0,013429459  2,3206488e-007            
0,013543268  2,1245624e-007            
0,013657077  1,9332287e-007            
0,013770886  1,7588112e-007            
0,013884695  1,6048736e-007            
0,013998504  1,4669326e-007            
0,014112313  1,339359e-007            
0,014226122  1,2235471e-007            
0,014339931  1,1301148e-007            
0,01445374  1,0735238e-007            
0,014567549  1,0641906e-007            
0,014681358  1,1040334e-007            
0,014795167  1,1873724e-007            
0,014908976  1,3048946e-007            
0,015022785  1,447075e-007            
0,015136594  1,6053012e-007            
0,015250403  1,7717588e-007            
0,015364212  1,9401026e-007            
0,015478021  2,1074925e-007            
0,01559183  2,276491e-007            
0,015705639  2,4544973e-007            
0,015819448  2,6496389e-007            
0,015933257  2,8646774e-007            
0,016047066  3,0926212e-007            
0,016160875  3,3174704e-007            
0,016274684  3,520255e-007            
0,016388493  3,6865673e-007            
0,016502302  3,8111481e-007            
0,016616111  3,8978985e-007            
0,01672992  3,9557512e-007            
0,016843729  3,9914502e-007            
0,016957538  4,0026738e-007            
0,017071347  3,9775132e-007            
0,017185156  3,903215e-007            
0,017298965  3,7784267e-007            
0,017412774  3,6174701e-007            
0,017526583  3,4405677e-007            
0,017640392  3,2579456e-007            
